wavelength nm,irradiance W/m^2/nm
679.198,0.0099738475
679.537,0.0075016247
679.876,0.0070414214
680.215,0.008757694
680.555,0.0081325785
680.894,0.0080430803
681.232,0.0075251589
681.571,0.0090503316
681.91,0.0071346217
682.249,0.0079080709
682.588,0.0077637564
682.926,0.0080564657
683.265,0.0082942925
683.604,0.0084218002
683.942,0.0089331487
684.281,0.0066549454
684.619,0.007496975
684.957,0.008396185
685.296,0.0080256066
685.634,0.0093745961
685.972,0.0085640614
686.31,0.0082509719
686.649,0.0094873514
686.987,0.0068330555
687.325,0.007290445
687.663,0.0084826322
688.001,0.0091198597
688.338,0.0084124427
688.676,0.007872943
689.014,0.0087988519
689.352,0.0078013716
689.69,0.007823187
690.027,0.0084732899
690.365,0.0063849935
690.702,0.0076673626
691.04,0.0091292595
691.377,0.0085795972
691.715,0.0098856954
692.052,0.0082249601
692.389,0.0084201197
692.726,0.0093195243
693.064,0.0085812817
693.401,0.0078461538
693.738,0.0086321864
694.075,0.0092467237
694.412,0.0080335496
694.749,0.0086490063
695.086,0.0084963798
695.423,0.008817644
695.759,0.008666536
696.096,0.00911935
696.433,0.0086049197
696.769,0.0094231036
697.106,0.0103056892
697.443,0.0078407307
697.779,0.0093998692
698.116,0.0090620897
698.452,0.0062610704
698.788,0.0089426328
699.125,0.0092243745
699.461,0.0082566884
699.797,0.009718138
700.133,0.008938949
700.469,0.0111016766
700.805,0.0097440881
701.141,0.0087688448
701.477,0.0105019894
701.813,0.0095151771
702.149,0.0105048704
702.485,0.0103427408
702.82,0.0089621412
703.156,0.0076400448
703.492,0.0097293541
703.827,0.0102728586
704.163,0.0104369203
704.498,0.0100195732
704.834,0.0082130672
705.169,0.0103391376
705.505,0.0074798995
705.84,0.0088945964
706.175,0.0102528932
706.51,0.0098911981
706.845,0.0097910501
707.18,0.0107598298
707.515,0.0100614
707.85,0.009955505
708.185,0.0099130964
708.52,0.0111016138
708.855,0.0102484908
709.19,0.0090497244
709.525,0.0085924375
709.859,0.0106814851
710.194,0.0105733555
710.529,0.0083990021
710.863,0.0075218304
711.198,0.0118544965
711.532,0.0112683152
711.866,0.0115204821
712.201,0.010437243
712.535,0.0114603339
712.869,0.009020402
713.203,0.0096891353
713.537,0.0080073348
713.872,0.008457729
714.206,0.0099782972
714.54,0.0115913985
714.873,0.0122666167
715.207,0.0094194161
715.541,0.009954151
715.875,0.010855281
716.209,0.0135730478
716.542,0.0100421044
716.876,0.010361755
717.21,0.0089957067
717.543,0.0125568211
717.877,0.0094240921
718.21,0.0110071119
718.543,0.011623147
718.877,0.0094963477
719.21,0.0107130249
