wavelength nm,white irradiance W / m^2 / nm
655.334,0.0081786268
655.676,0.0090356901
656.019,0.0090165519
656.361,0.0092208101
656.704,0.0088216448
657.046,0.0086548444
657.389,0.0074896785
657.731,0.0082600328
658.073,0.0088481546
658.415,0.0098606027
658.757,0.0088274616
659.1,0.0077910967
659.442,0.0064695181
659.784,0.0073399759
660.126,0.0077355185
660.468,0.0073172686
660.809,0.0078567285
661.151,0.00623433
661.493,0.0070675047
661.835,0.007566051
662.177,0.0070015739
662.518,0.008324537
662.86,0.0072238166
663.201,0.0079667366
663.543,0.007837111
663.884,0.0082407519
664.226,0.0083024164
664.567,0.0074825108
664.908,0.0077404188
665.249,0.006820068
665.591,0.0082045152
665.932,0.008420763
666.273,0.007551727
666.614,0.0068648193
666.955,0.0085154175
667.296,0.0089284833
667.637,0.0076500759
667.978,0.0088122292
668.318,0.0080753692
668.659,0.0083927235
669,0.008707652
669.341,0.0074737032
669.681,0.0077854908
670.022,0.0075902064
670.362,0.0078605923
670.703,0.0069131368
671.043,0.0077332741
671.383,0.0085086146
671.724,0.0074031527
672.064,0.0073166995
672.404,0.0080983132
672.744,0.0069841809
673.085,0.007249988
673.425,0.0072138797
673.765,0.008515763
674.105,0.0078071587
674.444,0.0083865254
674.784,0.0083001214
675.124,0.0081069385
675.464,0.0091565749
675.804,0.0085996994
676.143,0.007571726
676.483,0.0082621503
676.823,0.007860365
677.162,0.0074488995
677.501,0.0069377839
677.841,0.0077909521
678.18,0.0095371475
678.52,0.0070260463
678.859,0.0084114824
679.198,0.0073201339
679.537,0.0084979859
679.876,0.0071376771
680.215,0.0082156694
680.555,0.0083891165
680.894,0.0084068658
681.232,0.008478281
681.571,0.0080206169
681.91,0.0073934005
682.249,0.0085451667
682.588,0.0067266724
682.926,0.0065827592
683.265,0.0086102301
683.604,0.0090651748
683.942,0.0070668062
684.281,0.0081219918
684.619,0.0070477578
684.957,0.0088808999
685.296,0.0077946923
685.634,0.0077614344
685.972,0.0081104205
686.31,0.0082406833
686.649,0.0075863416
686.987,0.0088286211
687.325,0.0081730246
687.663,0.0089196675
688.001,0.0084364068
688.338,0.0083458462
688.676,0.0094413525
689.014,0.0078836146
689.352,0.008811028
689.69,0.00838107
690.027,0.0097168354
690.365,0.0075183725
690.702,0.0091484972
691.04,0.008140094
691.377,0.0087419328
691.715,0.0081945461
692.052,0.007981625
692.389,0.0095155304
692.726,0.0111184623
693.064,0.0076923595
693.401,0.0091855853
693.738,0.0093276189
694.075,0.0075234879
694.412,0.0101548133
694.749,0.0095879401
695.086,0.0100340851
695.423,0.0080896987
695.759,0.0087153044
696.096,0.009829804
696.433,0.0102828317
696.769,0.0099566111
697.106,0.0082285432
697.443,0.006732134
697.779,0.0082870998
698.116,0.0090507132
698.452,0.0091453725
698.788,0.0081272656
699.125,0.008281933
699.461,0.0096768218
699.797,0.0092069219
700.133,0.0090525765
700.469,0.0086384921
700.805,0.0106144042
701.141,0.010591525
701.477,0.0078268049
701.813,0.009439851
702.149,0.0097271984
702.485,0.0115464763
702.82,0.0086934528
703.156,0.0087228429
703.492,0.0101046109
703.827,0.0115560527
704.163,0.0113343033
704.498,0.0101378184
704.834,0.0117312975
705.169,0.0107860112
705.505,0.0099689559
705.84,0.0106660625
706.175,0.0126937656
706.51,0.0110100913
706.845,0.0101792593
707.18,0.0088045521
707.515,0.0111922171
707.85,0.0108868808
708.185,0.0097651926
708.52,0.010885393
708.855,0.0107120262
709.19,0.0103332739
709.525,0.0112472447
709.859,0.0104627563
710.194,0.0093904352
710.529,0.0113553039
710.863,0.011040313
711.198,0.0093403389
711.532,0.010488294
711.866,0.0112272683
712.201,0.0088791541
712.535,0.011094932
712.869,0.0092897782
713.203,0.0103139919
713.537,0.0105534696
713.872,0.0117952631
714.206,0.0104651768
714.54,0.0108606697
714.873,0.0106715597
715.207,0.0122903886
715.541,0.0098681886
715.875,0.0117122922
716.209,0.0110138535
716.542,0.0108311269
716.876,0.0104943977
717.21,0.0116228657
717.543,0.0118069876
717.877,0.0108871796
718.21,0.0109933865
718.543,0.0122770163
718.877,0.0108216635
719.21,0.0101769079
719.543,0.0122216404
719.876,0.0108253058
720.209,0.0111477587
720.542,0.0099746406
720.875,0.0119609125
721.208,0.0100974515
721.541,0.0115657711
721.874,0.012197272
722.207,0.0142273595
722.54,0.0122032909
722.872,0.012617495
723.205,0.0118787278
723.538,0.0109921808
723.87,0.0095600491
724.203,0.0103615782
724.535,0.0114043215
724.868,0.0124447576
725.2,0.0118500624
725.532,0.0104761731
725.865,0.0115275778
726.197,0.011148956
726.529,0.0145067514
726.861,0.0086791802
727.193,0.0103712914
727.525,0.0120694824
727.857,0.0137715663
728.189,0.0122855136
728.521,0.0111142832
728.853,0.0118679785
729.184,0.0127009083
729.516,0.0110247143
729.848,0.0126817732
730.179,0.0132719961
730.511,0.0116784582
730.842,0.0148877842
731.174,0.012799893
731.505,0.0115197742
731.836,0.0078417993
732.168,0.0124694394
732.499,0.011009993
732.83,0.0126118175
733.161,0.0098272723
733.492,0.0117649755
733.823,0.0127903521
734.154,0.012401035
734.485,0.0134344614
734.816,0.0127043874
735.147,0.0126496093
735.478,0.0128547594
735.808,0.0123851158
736.139,0.011568811
736.47,0.0142258742
736.8,0.0144317241
737.131,0.0126641334
737.461,0.0141554396
737.792,0.01307006
738.122,0.0094041082
738.452,0.0127812683
738.782,0.0124683952
739.113,0.0140549635
739.443,0.0121777212
739.773,0.0109870337
740.103,0.0125784394
740.433,0.0131251608
740.763,0.011494354
741.093,0.0131786863
741.423,0.0113630186
741.752,0.0142841186
742.082,0.0142330839
742.412,0.0110863484
742.742,0.011993203
743.071,0.0154908158
743.401,0.014368507
743.73,0.0139580921
744.06,0.0143480647
744.389,0.0128613955
744.718,0.0155970923
745.048,0.0135687973
745.377,0.0139723545
745.706,0.0111060737
746.035,0.0130418951
746.364,0.0146289736
746.693,0.012008133
747.022,0.0118527975
747.351,0.0151813863
747.68,0.0141167689
748.009,0.014241423
748.338,0.0130710613
748.666,0.0141159896
748.995,0.0139557144
749.323,0.0123114725
749.652,0.0174582275
749.981,0.0125579985
750.309,0.0105311899
750.637,0.0115886366
750.966,0.015097019
751.294,0.0133472011
751.622,0.013005154
751.95,0.0127488876
752.279,0.0145903254
752.607,0.0132078233
752.935,0.0153439353
753.263,0.0132857013
753.591,0.0116832325
753.919,0.0125831716
754.246,0.0136887444
754.574,0.0142210913
754.902,0.0141696467
755.23,0.0160612958
755.557,0.013654563
755.885,0.012028933
756.212,0.0149113128
756.54,0.0148551995
756.867,0.0138975334
757.195,0.0154201935
757.522,0.0138709166
757.849,0.0150971178
758.176,0.016938515
758.503,0.0142772458
758.831,0.0122081283
759.158,0.0138658369
759.485,0.0165283827
759.812,0.0146484694
760.138,0.0151961988
760.465,0.0139131499
760.792,0.0168121607
761.119,0.0153234271
761.446,0.0144491125
761.772,0.0140786054
762.099,0.0137040857
762.425,0.0164404693
762.752,0.0139918486
763.078,0.0159158257
763.405,0.01680679
763.731,0.0153874761
764.057,0.0161741277
764.383,0.0160191862
764.71,0.0146870632
765.036,0.0153634038
765.362,0.0185003621
765.688,0.0178054539
766.014,0.0138927596
766.34,0.0171542442
766.665,0.0158091649
766.991,0.0158646186
767.317,0.0147234161
767.643,0.0161927948
767.968,0.0157039096
768.294,0.0175203902
768.619,0.0162669243
768.945,0.016326159
769.27,0.0149505759
769.596,0.0157806797
769.921,0.0149512098
770.246,0.0156809063
770.572,0.0159626118
770.897,0.0180545359
771.222,0.0189121719
771.547,0.0164800553
771.872,0.0173356537
772.197,0.017280418
772.522,0.0176985327
772.847,0.0170647953
773.171,0.0156218254
773.496,0.0169581929
773.821,0.0186699783
774.146,0.0179320246
774.47,0.0207192504
774.795,0.0177292485
775.119,0.0207742638
775.444,0.0171548583
775.768,0.0202356521
776.092,0.0197125494
776.417,0.0153096666
776.741,0.0181723514
777.065,0.0177624295
777.389,0.0140358475
777.713,0.0196303567
778.037,0.0174922315
778.361,0.0181821288
778.685,0.0207387944
779.009,0.0194536388
779.333,0.015499174
779.657,0.0154357473
779.98,0.0181638851
780.304,0.0146825139
780.627,0.0178077946
780.951,0.0183853861
781.274,0.0202566582
781.598,0.0182595363
781.921,0.0183240283
782.245,0.0178784928
782.568,0.0223809402
782.891,0.0186590983
783.214,0.0197747132
783.537,0.024042123
783.861,0.022509199
784.184,0.0181924403
784.506,0.0195485114
784.829,0.0193161616
785.152,0.0196065
785.475,0.018042994
785.798,0.0189887182
786.12,0.0194167117
786.443,0.0206382002
786.766,0.0202535204
787.088,0.0218790539
787.411,0.015459753
787.733,0.018555142
788.056,0.0203114792
788.378,0.0211285636
788.7,0.0232930406
789.022,0.0211564941
789.345,0.0193145817
789.667,0.0212005277
789.989,0.020553371
790.311,0.0184118752
790.633,0.0203307002
790.955,0.0177885427
791.276,0.0179317142
791.598,0.0198553052
